12900.000000,0.250000
15675.000000,3.532500
10450.000000,3.290000
13716.000000,2.786200
15225.000000,2.762500
38000.000000,2.470000
14650.000000,1.930000
14500.000000,1.855000
30095.699219,1.069680
29700.000000,0.940000
23575.701172,0.984595
22790.400391,0.980192
22750.000000,0.895000
26954.097656,0.812568
27350.000000,0.745000
27775.000000,0.687500
23674.201172,0.618402
22750.000000,0.605000
32775.000000,3.467500
41100.000000,2.540000
24500.000000,2.525000
39500.000000,1.265000
43100.000000,0.980000
52700.000000,0.350000
20650.000000,0.370000
28250.000000,0.340000
